"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000197905",1496.31912211028,-0.82150132459357,0.222563100080575,-3.6910940056827,0.000223291587502392,0.00690471890075531
"ENSG00000113140",47470.6695518455,-0.798324867103986,0.216772805295218,-3.68277222789439,0.000230711284860722,0.00706014824003246
"ENSG00000163501",108.09578576217,-2.5387639347014,0.69056345018605,-3.6763659212161,0.000236580107288219,0.00720238716718521
"ENSG00000178202",2360.48659679891,-0.666009766511494,0.181482796352298,-3.6698231452122,0.000242718334807921,0.0073588806545053
"ENSG00000259974",31.2631265727047,-2.87280916464466,0.783388425878774,-3.66715804030684,0.00024526122020551,0.00739796114116824
"ENSG00000125798",315.384118842358,-1.57713342526324,0.430604394593383,-3.66260410963181,0.000249664231826007,0.00746210216703872
"ENSG00000156218",1026.65888985881,-1.00835604931903,0.275647868042114,-3.65813113840216,0.000254061051960845,0.00757926799399403
"ENSG00000169035",26.4081055530725,-2.24508362800622,0.615843590632503,-3.64554192355953,0.000266828909012082,0.00785574133319005
"ENSG00000118804",491.805787825905,-0.94395241194154,0.259602566179775,-3.63614437958927,0.000276749256720022,0.00807527504771578
"ENSG00000259523",33.0373156272026,-0.714194932103776,0.196476704403264,-3.63501074731948,0.000277969047492695,0.0080846755923898
"ENSG00000163453",46570.8761558848,-0.716452734268331,0.197105824083969,-3.63486334104017,0.000278128026610518,0.0080846755923898
"ENSG00000171621",2530.821150988,-0.680589446833524,0.187541935861125,-3.628998728783,0.000284522641701251,0.00823691651637576
"ENSG00000188487",27.6307593168211,-1.29552740683518,0.357887956779011,-3.61992456660156,0.00029468891295977,0.00844011935176039
"ENSG00000174099",2849.86173891107,-0.910911449753404,0.252243439580355,-3.61123940931365,0.000304737186407877,0.00869414603388044
"ENSG00000164176",649.494192625318,-1.40160586976215,0.388683851599424,-3.60603061844369,0.000310916467494104,0.00880233761139739
"ENSG00000130956",1437.58318291747,-0.365304709381293,0.101533850708065,-3.59786127319877,0.000320844662490977,0.00903140986973648
"ENSG00000081818",255.987871371151,-0.788233258704537,0.219168004867349,-3.59647960103308,0.00032255286521486,0.00905357709213926
"ENSG00000079150",771.396101742388,-0.707170044772588,0.196654141156401,-3.59600891501272,0.000323136729696015,0.00906134365592439
"ENSG00000197321",8644.94108346905,-0.55274696874911,0.154016680820322,-3.58887729436237,0.000332105099624764,0.00926001931845986
"ENSG00000124067",8778.6874194734,-0.408248630102978,0.113881672514843,-3.58484926580059,0.000337272940205375,0.00934230209958551
"ENSG00000116885",660.814701209956,-0.501735833061306,0.140050926880828,-3.58252418770667,0.000340290097042908,0.00939060604561813
"ENSG00000137273",380.861095167377,-1.22909737540734,0.343482951298789,-3.57833589923412,0.000345788870659305,0.0094890899390228
"ENSG00000130300",42585.1288252614,-0.73903695791868,0.206749217963431,-3.57455745273676,0.000350820774817965,0.0095914855024374
"ENSG00000154553",2681.9673950889,-1.06680664747328,0.298503686158714,-3.57384748309627,0.000351773879499704,0.00959384138098306
"ENSG00000104419",15658.8089793176,-0.491650172406787,0.137571986295651,-3.57376661953692,0.000351882588956734,0.00959384138098306
"ENSG00000130881",2596.78480439038,-0.596797112768208,0.167084092469772,-3.57183681550161,0.000354486275018882,0.00964699733676846
"ENSG00000134531",17388.1847084903,-0.914099197903911,0.256211995560392,-3.56774551443064,0.000360065950770768,0.00975385266091612
"ENSG00000162873",86.2305776464979,-1.79072445314991,0.50217774699788,-3.56591757371812,0.000362585328570042,0.00980409458553275
"ENSG00000188710",13.4393492987389,-1.45552007967974,0.408383850919971,-3.56409803277203,0.000365109491424197,0.00985428179049754
"ENSG00000155366",8634.79499880024,-0.513276981625256,0.144398917803749,-3.5545763737845,0.000378588538881784,0.0101438346021913
"ENSG00000163815",1024.47758393913,-1.10454073309057,0.311376363359687,-3.54728509631497,0.00038922314982829,0.0103592104358806
"ENSG00000087077",4975.56113811422,-0.553943880982316,0.156544697909985,-3.5385668654255,0.00040230537689594,0.0106248958088006
"ENSG00000136244",190.364966244892,-2.06740094464256,0.584829622009326,-3.53504827190438,0.000407700672105482,0.0107289650554074
"ENSG00000136383",1945.59814298188,-0.621851232192143,0.175951186336436,-3.53422585627302,0.000408971444989398,0.0107389676137254
"ENSG00000100146",152.306051014646,-1.1180568567506,0.316697178707282,-3.53036569922841,0.000414985638069204,0.0108625344481291
"ENSG00000227959",27.6968987187926,-1.09272577470333,0.309613414136426,-3.52932310039332,0.000416624136412398,0.0108764708178458
"ENSG00000179914",31.7869378234531,-3.3536670346405,0.952478729359452,-3.52098890113363,0.000429940611851383,0.0111550114772346
"ENSG00000197956",22298.5409438071,-0.712240526808924,0.202422627565,-3.51858157053227,0.000433860413773804,0.011236946625397
"ENSG00000136999",2392.88638728092,-1.55048589327895,0.441048113250792,-3.51545749022918,0.000438997033889617,0.0113301946629429
"ENSG00000186340",4664.57517372831,-0.949599856177075,0.270534618987604,-3.51008628666701,0.000447961301394339,0.0115212366095318
"ENSG00000102452",271.710235350121,-1.36829047552119,0.390597558820663,-3.50306970594617,0.000459929086901651,0.0117572860169833
"ENSG00000122641",325.969318260261,-1.53029212384924,0.437835227231983,-3.49513248059968,0.000473826503570737,0.0120255098935556
"ENSG00000109846",14814.0621855823,-1.11279602315476,0.318398044422831,-3.49498385007974,0.000474090440888309,0.0120255098935556
"ENSG00000114993",1992.38047280279,-0.378211798583203,0.10831134679248,-3.4918945224441,0.000479607600591498,0.0121445701437332
"ENSG00000138735",3015.41642141067,-0.850851882102741,0.243851567811529,-3.48922047021801,0.000484431422063551,0.0121830579291345
"ENSG00000161281",1107.416882866,-0.720037020869873,0.206477399422101,-3.48724375106015,0.000488026345145495,0.0122317563141819
"ENSG00000169242",6519.20946924458,-1.00676017999181,0.288905088308274,-3.48474367788758,0.000492608689534573,0.0123152172383643
"ENSG00000196562",6427.05890814103,-0.728881605443026,0.209199543558828,-3.48414529517393,0.000493711390576139,0.0123230086670637
"ENSG00000182768",7560.14350529863,-0.519250293600478,0.149347548407221,-3.47679154521275,0.000507452185471481,0.0125480632618681
"ENSG00000126603",2718.86719441966,-0.626589051646971,0.180687622717304,-3.46780284240778,0.000524732116864113,0.012824852897673
"ENSG00000125868",21690.4047560788,-0.653970464062146,0.188738418162213,-3.46495679273992,0.000530316673673551,0.0129399022939369
"ENSG00000112208",1192.45585209135,-0.690787132739865,0.199450616359456,-3.46344947610945,0.000533296736233347,0.0129911261097306
"ENSG00000152760",74.883468365656,-1.6020210834105,0.463349358928587,-3.45747987461317,0.000545252966592926,0.0132168960677825
"ENSG00000128283",3487.28395796856,-0.532479333259339,0.1540645322681,-3.4562097156322,0.000547828917546019,0.0132575496863064
"ENSG00000125931",185.139628865403,-1.53473588510999,0.444191748921107,-3.45512020166448,0.000550047538941411,0.0132723317211516
"ENSG00000078369",14741.2487149235,-0.37431896853234,0.10836060399441,-3.45438244836334,0.000551554605409533,0.0132723317211516
"ENSG00000188157",15564.453100433,-0.595618574643584,0.172644279070618,-3.44997574115938,0.000560636930741358,0.0134134545473399
"ENSG00000158560",377.794136720622,-0.781979376541247,0.226791132001271,-3.44801566816494,0.000564721277076806,0.0134716226008354
"ENSG00000175203",6571.29110023915,-0.405272595296307,0.117540750675933,-3.44793267837523,0.000564894818889266,0.0134716226008354
"ENSG00000151929",3816.06795017178,-1.12402377333532,0.327364059992148,-3.43355887436842,0.000595712816727279,0.0140813526389862
"ENSG00000104695",8271.40921251169,-0.633066747465208,0.184735203173379,-3.42688743991613,0.000610542092739093,0.0143513878372934
"ENSG00000090402",2.37033693989091,-4.5189284778968,1.32032178485375,-3.42259631684965,0.000620261184529214,0.0145335225922254
"ENSG00000197702",3915.99746224321,-0.515956577175131,0.150863031106707,-3.42003321416888,0.000626134903587792,0.0146440005521066
"ENSG00000233203",3.09687079214249,-2.62793507879276,0.76940451096525,-3.41554415309563,0.000636547088189616,0.0148326533187944
"ENSG00000118680",16624.5704462697,-0.474097525863188,0.139246257212875,-3.40474160923696,0.000662266859839136,0.0153546383319405
"ENSG00000197694",22726.5863105045,-0.39775324979877,0.116910323106948,-3.40220811326396,0.000668437152981409,0.0154658007944718
"ENSG00000167874",986.610819640825,-0.678636282414628,0.20001960294598,-3.39284886290824,0.00069169790994179,0.0159166055719835
"ENSG00000179010",13174.3264736531,-0.376184718461364,0.110887098516119,-3.3925021350133,0.000692573922797476,0.0159243419505265
"ENSG00000172458",605.545738968319,-0.683373714819979,0.201466975023792,-3.39198876013935,0.000693872865335511,0.0159417831210262
"ENSG00000253846",108.395976047356,-0.604303860981263,0.178447944995521,-3.38644337426487,0.000708048871035665,0.016154247251007
"ENSG00000140945",410.074186949895,-1.14295586411658,0.337708373826442,-3.38444632321725,0.000713219626844319,0.0162348009744781
"ENSG00000119242",4367.07998197385,-0.384680395138478,0.113661390233937,-3.38444210779697,0.000713230578404191,0.0162348009744781
"ENSG00000110244",9.45041060847732,-3.30347230803492,0.976620832043258,-3.38255359669473,0.000718152629647028,0.0163342348300596
"ENSG00000128245",5556.68215739611,-0.568117756543202,0.168127874476033,-3.37908129936055,0.000727284972649031,0.0165164793634691
"ENSG00000153885",3476.19981651689,-0.512957123491173,0.151884357542509,-3.37728737699409,0.000732045246031356,0.0165912315625113
"ENSG00000010319",1566.51552207351,-0.82215927128271,0.243537427908674,-3.37590520825825,0.000735732630187493,0.0166442581215729
"ENSG00000164638",1318.21293173152,-1.29934150399843,0.386001728961408,-3.36615462188341,0.000762239688828249,0.017099673627706
"ENSG00000185652",61.8618358992821,-1.64945716768625,0.490356210148256,-3.36379377593188,0.000768789660029486,0.0172204213901821
"ENSG00000166025",3940.2466272455,-0.460511881100096,0.137185422908157,-3.35685724720476,0.000788338036801086,0.0175252238776428
"ENSG00000143862",2591.21397417893,-0.299319054037793,0.0892295223264512,-3.35448454988604,0.00079512993296325,0.0176230901746175
"ENSG00000100243",14379.9273002292,-0.568584624437179,0.169605169276263,-3.35240150322916,0.000801137424461387,0.0177167181797234
"ENSG00000083857",4597.27350243374,-0.736928294787876,0.21998073771279,-3.34996737646194,0.000808210786849006,0.017792700158243
"ENSG00000168487",5593.17455104853,-0.55072001620361,0.164564631550387,-3.34652720341667,0.000818306498837527,0.0179080428158064
"ENSG00000142149",96.7771948054813,-1.59086506399713,0.475800632426564,-3.34355390803871,0.000827126221386107,0.0180341637331043
"ENSG00000167996",22512.4145632201,-0.821985818022652,0.246053281039072,-3.34068220733105,0.000835728226254774,0.0181546264171692
"ENSG00000113068",2331.24561839222,-0.382101839189312,0.114442942018454,-3.33879776638123,0.000841417969011461,0.018264775633435
"ENSG00000112782",572.329116196791,-0.816996810821688,0.24485315807854,-3.33668071603809,0.0008478528797594,0.018363920670266
