"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000205056",280.463495168341,4.31516502293869,0.727628002766019,5.930454856788,3.02096633851711e-09,1.6814812638916e-06
"ENSG00000220008",105.742281511974,3.26665603175218,0.552004388517784,5.91780808214885,3.26260345209445e-09,1.78234818216271e-06
"ENSG00000112303",263.325035950275,2.47716362094362,0.419124956330103,5.91032240750798,3.41438785267357e-09,1.83135348461582e-06
"ENSG00000139193",661.385974345479,2.28734645163903,0.387262177829981,5.90645454832732,3.49548676820231e-09,1.84137249396372e-06
"ENSG00000164938",4151.54739282328,1.42286997587465,0.241752234196651,5.88565388279818,3.96483284724273e-09,2.05197489462562e-06
"ENSG00000128218",167.037627865681,3.66162355295597,0.623773945544731,5.87011300986343,4.35498183574876e-09,2.213401049107e-06
"ENSG00000118308",1221.86242294494,2.18273455425632,0.372093209849964,5.86609617288218,4.46175066112459e-09,2.213401049107e-06
"ENSG00000162894",1435.03131992132,2.9830619153632,0.508654579493565,5.86461232361901,4.50183264225152e-09,2.213401049107e-06
"ENSG00000164512",81.6714365585701,4.18164802754152,0.713821336540776,5.85811576858441,4.681482719267e-09,2.26399574128486e-06
"ENSG00000081059",1809.01255791271,1.80044914594282,0.307905938444115,5.84739987491214,4.99316195188051e-09,2.34536122327992e-06
"ENSG00000129173",45.9577070095641,2.84617446997958,0.486785036232099,5.84688159687498,5.00873752768254e-09,2.34536122327992e-06
"ENSG00000135960",20.0903204571132,4.22621771725146,0.723513993585118,5.84123839306817,5.18141953886335e-09,2.38831056869482e-06
"ENSG00000157456",121.914167109925,2.30282355034661,0.394715317693505,5.83413778771753,5.40694270693565e-09,2.45392015160926e-06
"ENSG00000268027",204.465440635887,3.01635611729298,0.518315174002466,5.81954044293255,5.90096450256937e-09,2.63755231554237e-06
"ENSG00000159618",330.326097217397,2.60345792453578,0.448839134162425,5.80042542278331,6.61468875972686e-09,2.91243758823795e-06
"ENSG00000124557",17.4294363180564,3.29237350797642,0.568844608348556,5.78782581333536,7.13032930309353e-09,3.09330462413616e-06
"ENSG00000070190",343.013944116622,2.9187764042599,0.505838868210253,5.77017028087826,7.9191469648261e-09,3.38572225307783e-06
