"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000186265",184.594027131832,-5.01390832301512,0.575334628263847,-8.71476889570388,2.91352389389892e-18,3.61008022176337e-15,"BTLA","151888"
"ENSG00000159958",179.394426725224,-6.75950807325783,0.785649178365678,-8.60372321310014,7.71709538626493e-18,9.20792388755225e-15,"TNFRSF13C","115650"
"ENSG00000159753",1479.91506794298,-4.38147088637811,0.510949417201531,-8.57515585471342,9.89527059824011e-18,1.1385215628318e-14,"CARMIL2","146206"
"ENSG00000104894",2880.75133559284,-4.18453383644772,0.488597966122856,-8.56437015007043,1.08668219058561e-17,1.19707666153066e-14,"CD37","951"
"ENSG00000211890",7321.38522668431,-6.67058020260959,0.779142982583115,-8.5614326917178,1.11473490954556e-17,1.19707666153066e-14,NA,NA
"ENSG00000168081",73.2466547389224,-5.60316273879026,0.656388712258686,-8.53634840780447,1.38530224684476e-17,1.43964184465648e-14,"PNOC","5368"
"ENSG00000079263",603.429861731131,-4.01544919044226,0.471941620861825,-8.50835996009325,1.76410796959442e-17,1.77095653990259e-14,"SP140","11262"
"ENSG00000159618",330.326097217397,-3.83577668511317,0.450996103321731,-8.50512156726288,1.81405406682349e-17,1.77095653990259e-14,"ADGRG5","221188"
"ENSG00000249096",123.977512161942,-4.3153681667018,0.508545558765356,-8.48570613256091,2.14412676993114e-17,2.03162317706181e-14,NA,NA
"ENSG00000163534",945.459443786235,-8.05885724166001,0.95351255182298,-8.45175789899422,2.86949144386944e-17,2.64124389587708e-14,"FCRL1","115350"
"ENSG00000271856",191.617328305144,-6.41560840519216,0.759512729860322,-8.44700576167041,2.98868983831309e-17,2.67454532864152e-14,"LINC01215","101929623"
"ENSG00000178199",410.194605683461,-3.96520508499009,0.47370472703412,-8.37062595895203,5.731296239388e-17,4.99025512562497e-14,"ZC3H12D","340152"
"ENSG00000270164",216.533755896042,-3.4218273384754,0.410171345674594,-8.34243389880792,7.27768507232563e-17,5.93185478054254e-14,"LINC01480","101927931"
"ENSG00000167077",416.512093835842,-3.17092116926364,0.380419964497984,-8.33531745224809,7.72905380906643e-17,5.93185478054254e-14,"MEI1","150365"
"ENSG00000211967",251.12869540772,-6.76399199048064,0.811573328323077,-8.33441878191934,7.78798115422651e-17,5.93185478054254e-14,NA,NA
"ENSG00000269404",470.839981553347,-6.57008223236736,0.78840656170135,-8.33336827916473,7.85742625685083e-17,5.93185478054254e-14,"SPIB","6689"
"ENSG00000162894",1435.03131992132,-4.24240802993309,0.509220422071611,-8.33118203051268,8.00391540599975e-17,5.93185478054254e-14,"FCMR","9214"
"ENSG00000105369",2008.3033509777,-6.7018698906261,0.804444179213308,-8.3310564782507,8.01240930448787e-17,5.93185478054254e-14,"CD79A","973"
"ENSG00000211904",71.0080977071223,-6.26913697713606,0.752620446329434,-8.32974576722031,8.10161442587136e-17,5.93185478054254e-14,NA,NA
"ENSG00000165066",17.4059665395142,-5.13866249357736,0.617265432281478,-8.32488298362071,8.44120858084048e-17,6.04315501423015e-14,"NKX6-3","157848"
"ENSG00000102096",2136.52109344593,-3.2276522632797,0.390154098054591,-8.27276268370268,1.30890067192057e-16,9.16685740143328e-14,"PIM2","11040"
"ENSG00000172578",1300.75875680706,-3.76247142139855,0.455002361222596,-8.2691250464915,1.34945674122449e-16,9.24980816495491e-14,"KLHL6","89857"
"ENSG00000136573",970.517560493603,-5.94322749417396,0.719212049037435,-8.26352603815265,1.41431333591009e-16,9.49239967284991e-14,"BLK","640"
"ENSG00000241106",591.731963000422,-4.50194969273279,0.545278447370581,-8.25623993473776,1.50333272926957e-16,9.88395249105068e-14,"HLA-DOB","3112"
"ENSG00000174130",419.259843088345,-3.55116205033728,0.430804515045896,-8.24309385420196,1.67813835917259e-16,1.08125810758208e-13,"TLR6","10333"
"ENSG00000247982",1716.26715692867,-3.86449708420874,0.469250529836346,-8.23546663987039,1.78859084610421e-16,1.12982828819791e-13,"LINC00926","283663"
"ENSG00000122224",460.601052836513,-4.04426932417103,0.492699305274738,-8.20839258524197,2.24169223778652e-16,1.38881456024097e-13,"LY9","4063"
"ENSG00000117322",1108.11606315774,-7.92852467266936,0.966193834355498,-8.20593590100696,2.28801469748571e-16,1.39076757536226e-13,"CR2","1380"
"ENSG00000124256",426.221702433123,-4.40439409457317,0.538053059952121,-8.18579880386722,2.70503329474661e-16,1.61380282636217e-13,"ZBP1","81030"
"ENSG00000174123",492.938431567002,-6.42976533401359,0.78779529802072,-8.16172088125928,3.3028472950857e-16,1.92181581393895e-13,"TLR10","81793"
"ENSG00000254709",109.278564027484,-7.2800276175236,0.892122285149881,-8.16034722896819,3.34062843247396e-16,1.92181581393895e-13,"IGLL5","100423062"
"ENSG00000070190",343.013944116622,-4.13936250925857,0.508015680740797,-8.14809988389035,3.69686951287491e-16,2.08944470573295e-13,"DAPP1","27071"
"ENSG00000068831",3489.5648015732,-3.1890479524648,0.391608283953661,-8.14346397442952,3.8412683877718e-16,2.13362590311131e-13,"RASGRP2","10235"
"ENSG00000167895",4569.4699403326,-3.98392127515203,0.489931051864581,-8.1315957826923,4.2367556050344e-16,2.31341217918285e-13,"TMC8","147138"
"ENSG00000163568",237.090104418042,-4.78008529674732,0.588266536419832,-8.12571343227977,4.44738654525585e-16,2.38795008236604e-13,"AIM2","9447"
"ENSG00000028277",1162.04946790301,-3.98173031242125,0.490782201532359,-8.11302916036722,4.93732167866406e-16,2.60755336393182e-13,"POU2F2","5452"
"ENSG00000101057",361.887972325873,-4.50354691919961,0.55537880101039,-8.10896438792116,5.10530054311967e-16,2.6527800370507e-13,"MYBL2","4605"
"ENSG00000089012",265.128772346235,-4.29588544893561,0.531215453694968,-8.0868984873365,6.12032353064378e-16,3.12971972798762e-13,"SIRPG","55423"
"ENSG00000211660",1808.29133398166,-6.53570963968682,0.808884928967972,-8.07990037349998,6.48197064323081e-16,3.26286197253631e-13,NA,NA
"ENSG00000139193",661.385974345479,-3.12849785220928,0.387864046908275,-8.06596506468445,7.26595870730261e-16,3.6012327032994e-13,"CD27","939"
"ENSG00000181847",510.706906118892,-4.38635577262449,0.544396908128704,-8.05727532087211,7.80138050877683e-16,3.80801931016295e-13,"TIGIT","201633"
"ENSG00000100721",404.5455931885,-8.42264528322838,1.04599803831642,-8.05225724589792,8.12808419640103e-16,3.90827403688441e-13,"TCL1A","8115"
"ENSG00000184661",41.7616225578301,-3.00612622392574,0.376508750852615,-7.98421342696094,1.4142115476414e-15,6.70003517923754e-13,"CDCA2","157313"
"ENSG00000121895",202.641338364613,-4.82495249841868,0.604670945576206,-7.97946806228778,1.46965265492118e-15,6.86178694651313e-13,"TMEM156","80008"
"ENSG00000231486",259.158466534612,-6.30855576383616,0.791913797892919,-7.96621523784738,1.63607878973551e-15,7.52970204144561e-13,NA,NA
"ENSG00000188452",389.433691933019,-3.04419305272241,0.383505774589508,-7.93780238636775,2.05794868132981e-15,9.33786967855228e-13,"CERKL","375298"
"ENSG00000172794",449.77906328209,-3.35697639410713,0.423278653471293,-7.93088989150926,2.17581070886711e-15,9.73554413845317e-13,"RAB37","326624"
"ENSG00000223350",104.08889013198,-7.78046478845836,0.981708969847206,-7.9254290501892,2.27359935395692e-15,1.00337365461748e-12,NA,NA
"ENSG00000198286",1020.66730735099,-3.74080702823614,0.473402427807997,-7.90195995731846,2.74551626662022e-15,1.19018864624967e-12,"CARD11","84433"
"ENSG00000175857",203.420789699871,-4.52786052668075,0.573087601036112,-7.90081746402229,2.77080172798378e-15,1.19018864624967e-12,"GAPT","202309"
"ENSG00000078589",192.25085757618,-4.44860228045451,0.564366296646297,-7.88247332785461,3.20963542074037e-15,1.36054756203384e-12,"P2RY10","27334"
"ENSG00000009790",1406.08207131253,-3.78083115974634,0.480602480659569,-7.86685735487175,3.63660896354458e-15,1.514574671041e-12,"TRAF3IP3","80342"
"ENSG00000132704",735.928640944001,-7.53511879723874,0.958129638693409,-7.86440424441342,3.708581395795e-15,1.514574671041e-12,"FCRL2","79368"
"ENSG00000254838",1390.26288787371,-2.91125820518504,0.370190320269591,-7.86422022884045,3.71403647294013e-15,1.514574671041e-12,"GVINP1","387751"
"ENSG00000188404",1157.58331526813,-3.9069356595161,0.498346816478775,-7.83979255074162,4.51291367671994e-15,1.81735033761512e-12,"SELL","6402"
"ENSG00000263264",112.725140595428,-4.29233527806798,0.548016002854236,-7.83249988268988,4.78263643109744e-15,1.90219031190414e-12,NA,NA
"ENSG00000234883",211.275560921914,-3.68437114537985,0.470557788443696,-7.82979526821859,4.88665054833105e-15,1.9198577325004e-12,"MIR155HG","114614"
"ENSG00000128218",167.037627865681,-4.92425242640181,0.629730179061745,-7.81962273705639,5.29818810325451e-15,2.05646298716202e-12,"VPREB3","29802"
"ENSG00000170054",59.0852187295725,-9.98562549108419,1.2779641130119,-7.81369788823732,5.55341141542977e-15,2.12986550189864e-12,"SERPINA9","327657"
"ENSG00000197520",68.4605323686324,-5.42051770376253,0.694765485538714,-7.80193866360462,6.09632783704457e-15,2.31057997174386e-12,"FAM177B","400823"
"ENSG00000169442",1082.11762035572,-4.16439866552592,0.534906684510024,-7.78528065944908,6.9558621196862e-15,2.60569830288152e-12,"CD52","1043"
"ENSG00000268027",204.465440635887,-4.0474330346212,0.521235002020233,-7.76508296437101,8.15917983444877e-15,3.02133491432875e-12,NA,NA
"ENSG00000227039",1057.95793350943,-4.52671163629833,0.583112377448443,-7.76301757837162,8.29321127511911e-15,3.03606925499133e-12,"ITGB2-AS1","100505746"
"ENSG00000104814",1228.62501532188,-3.5785010709315,0.461451976172677,-7.75487213341657,8.84325343532516e-15,3.20105901879141e-12,"MAP4K1","11184"
"ENSG00000042980",995.41688636309,-3.4924733571577,0.450731344800965,-7.74845902651816,9.30143728165096e-15,3.32950114961853e-12,"ADAM28","10863"
"ENSG00000260655",346.060344673094,-6.8129927343531,0.880141072988029,-7.7407962694246,9.87960990765049e-15,3.46196881713946e-12,NA,NA
"ENSG00000136490",2271.70659811226,-3.44754238687339,0.445378139749185,-7.74070857814187,9.88642696724704e-15,3.46196881713946e-12,"LIMD2","80774"
"ENSG00000116748",49.5082838131535,-4.0690338616119,0.527861657082145,-7.70852325987125,1.27281924664768e-14,4.38589570808083e-12,"AMPD1","270"
"ENSG00000015133",2236.81720018997,-2.69791888508119,0.350022999070758,-7.70783317737302,1.27971876260119e-14,4.38589570808083e-12,"CCDC88C","440193"
"ENSG00000082293",62.1416659853732,-5.47502725930936,0.710536511966713,-7.70548334547212,1.30348976374814e-14,4.42033960304316e-12,"COL19A1","1310"
"ENSG00000104783",690.06903486647,-3.83240312589387,0.497940663543094,-7.69650564110275,1.39837630413738e-14,4.69271781396769e-12,"KCNN4","3783"
"ENSG00000255354",79.8415810074923,-5.11937332377642,0.666057629159169,-7.6860816536838,1.51709702860742e-14,5.03863895604295e-12,NA,NA
"ENSG00000128438",414.870507437814,-6.78428149283023,0.883141473937243,-7.68198719349504,1.56639499691988e-14,5.14928379803786e-12,NA,NA
"ENSG00000156886",52.7855964355073,-4.5440986717995,0.592081955090646,-7.67477987249892,1.65702958104187e-14,5.39220858412574e-12,"ITGAD","3681"
"ENSG00000260719",69.2905108065276,-5.28565800639813,0.688986934061601,-7.67163750876813,1.69814294618e-14,5.47073731541347e-12,NA,NA
"ENSG00000251301",57.6692847708646,-4.07605916266832,0.531448550701157,-7.66971545465812,1.7237832241166e-14,5.49835647011291e-12,"LINC02384","100507195"
"ENSG00000187621",58.8619167854035,-7.70728423195129,1.00580851831012,-7.66277486384832,1.81958156665739e-14,5.7470235050426e-12,NA,NA
"ENSG00000072858",336.199307407232,-3.11335445206347,0.407123527643286,-7.64719855441845,2.0540503664283e-14,6.42459093251012e-12,"SIDT1","54847"
"ENSG00000227507",943.005067007949,-5.53611609112281,0.724136611571504,-7.64512662756888,2.08739804171412e-14,6.46611685690981e-12,"LTB","4050"
"ENSG00000140968",1599.87866276875,-3.44787882717032,0.451486031469311,-7.63673422176449,2.22800756288706e-14,6.83595158533044e-12,"IRF8","3394"
"ENSG00000130475",513.542075700348,-3.78102849017688,0.496355802147108,-7.61757689508436,2.58481931812696e-14,7.8558999200734e-12,"FCHO1","23149"
"ENSG00000167476",106.745695571111,-4.11422007506311,0.540226845143385,-7.61572682299995,2.62211732582094e-14,7.89477866996704e-12,"JSRP1","126306"
"ENSG00000129173",45.9577070095641,-3.77973020985558,0.497398154788727,-7.59900328030177,2.98420216533098e-14,8.90176453317618e-12,"E2F8","79733"
"ENSG00000247774",434.635418036312,-3.26977342132899,0.431834196377546,-7.57182605906984,3.68014015955755e-14,1.08770087504868e-11,"PCED1B-AS1","100233209"
"ENSG00000185862",1491.77892246411,-3.38141742561071,0.446915384467877,-7.56612446814025,3.84523633211761e-14,1.12420539702413e-11,"EVI2B","2124"
"ENSG00000257221",11.5781980085263,-7.18107335215563,0.949227717124291,-7.5651745335786,3.87344173918793e-14,1.12420539702413e-11,NA,NA
"ENSG00000118308",1221.86242294494,-2.81563069112462,0.372308624466953,-7.56262548351076,3.95013733346088e-14,1.13622878870336e-11,"LRMP","4033"
"ENSG00000205744",1810.7488665366,-2.74610773592496,0.363250472345382,-7.55981876140257,4.03631367563744e-14,1.15074231304722e-11,"DENND1C","79958"
"ENSG00000266088",116.968467141366,-5.04023678845762,0.668150105421948,-7.54356954755642,4.57278788440736e-14,1.29225381126375e-11,NA,NA
"ENSG00000088340",1013.5932186122,-3.11997846709968,0.413780144581511,-7.54018410007365,4.69308440686525e-14,1.31471658479627e-11,"FER1L4","80307"
"ENSG00000166428",134.950703256425,-3.9807776146084,0.528028256066185,-7.53894809392442,4.73777488101708e-14,1.31579444454178e-11,"PLD4","122618"
"ENSG00000170006",355.234360303148,-2.99188209073152,0.397409188875334,-7.5284673190334,5.1339363361509e-14,1.41363156414904e-11,"TMEM154","201799"
"ENSG00000081059",1809.01255791271,-2.31250325565785,0.308014189790393,-7.50778156432187,6.01377396028224e-14,1.64186221952926e-11,"TCF7","6932"
"ENSG00000220008",105.742281511974,-4.17845078011512,0.557117266239585,-7.5001279502944,6.37555689327605e-14,1.72600790650236e-11,"LINGO3","645191"
"ENSG00000163519",124.062888051461,-4.09535217353335,0.546711342362054,-7.49088569452294,6.84103779471373e-14,1.83659061328748e-11,"TRAT1","50852"
"ENSG00000222037",753.234739994718,-7.18005036771614,0.959547130739071,-7.48274903618945,7.27837924884044e-14,1.93785343703011e-11,NA,NA
"ENSG00000103522",170.635117188205,-3.53947740241254,0.47338294360787,-7.47698549389327,7.60468052626647e-14,2.00813432650984e-11,"IL21R","50615"
"ENSG00000211670",186.301898770824,-7.10152578151723,0.950602598388846,-7.47055162015488,7.98593350709592e-14,2.09166531597237e-11,NA,NA
"ENSG00000066279",121.475111513087,-3.79471691695781,0.508647113971773,-7.46041177217491,8.62524956426052e-14,2.24089548356627e-11,"ASPM","259266"
"ENSG00000259436",30.5850516950341,-4.21493968105729,0.565381962191384,-7.45503033864126,8.98471534170684e-14,2.31561271558742e-11,NA,NA
"ENSG00000240864",502.188981674196,-6.42913699995366,0.862559998889824,-7.45355338553656,9.08592078864949e-14,2.32311130259629e-11,NA,NA
"ENSG00000211644",1957.29007322553,-5.3835684100872,0.723575926696327,-7.44022598245809,1.00513205229707e-13,2.54971135407894e-11,NA,NA
"ENSG00000072818",2898.63615698741,-3.32175277578002,0.447712898409352,-7.4193814553515,1.17668564047878e-13,2.96157067138003e-11,"ACAP1","9744"
"ENSG00000225783",2064.34594521404,-3.01447182345026,0.406528716494286,-7.41515101182926,1.21486300485441e-13,3.02647276837065e-11,"MIAT","440823"
"ENSG00000128815",1161.01858537507,-3.86027322412708,0.52064154446486,-7.41445484934333,1.22126105006265e-13,3.02647276837065e-11,"WDFY4","57705"
"ENSG00000197943",2223.41279500108,-1.92782972426548,0.260312037779721,-7.40584162264838,1.30321291524346e-13,3.20490895247965e-11,"PLCG2","5336"
"ENSG00000124203",522.232914912902,-3.18229207922173,0.431116796176137,-7.38150799840696,1.56506611066473e-13,3.8197098349375e-11,"ZNF831","128611"
"ENSG00000162892",290.544956608547,-3.75844151382861,0.509671053370824,-7.37424950656176,1.6527340956114e-13,4.00334448302383e-11,"IL24","11009"
"ENSG00000163599",401.223664562582,-4.47262032570859,0.606601316420045,-7.37324533369707,1.66523630991897e-13,4.0035263403246e-11,"CTLA4","1493"
"ENSG00000238121",208.772063316492,-3.46072736319658,0.469858875788441,-7.36546129386051,1.76535343635367e-13,4.21278713374592e-11,"LINC00426","100188949"
"ENSG00000123329",2422.74342243451,-3.38979642693608,0.46060968835026,-7.35936849065664,1.84782296699309e-13,4.37716652240069e-11,"ARHGAP9","64333"
"ENSG00000010671",609.401851234749,-3.57300483725921,0.486354181262915,-7.34650790496176,2.03452197124091e-13,4.78424524273703e-11,"BTK","695"
"ENSG00000259834",569.193271383423,-2.98886502012158,0.407540169980407,-7.3339151334831,2.23524672878585e-13,5.19065983762885e-11,NA,NA
"ENSG00000168071",3561.54301397513,-3.20629586533211,0.437202928676735,-7.33365596391698,2.23957573078722e-13,5.19065983762885e-11,"CCDC88B","283234"
"ENSG00000169679",148.905565949351,-3.59562708192484,0.49099501419887,-7.32314377528176,2.42228032388512e-13,5.57401306530592e-11,"BUB1","699"
"ENSG00000170476",1603.31600977585,-5.4011367121088,0.738059587132707,-7.31802256385791,2.51651557922252e-13,5.74979190781793e-11,"MZB1","51237"
"ENSG00000117090",325.737538000338,-3.43288907176726,0.470124042205238,-7.3020921365017,2.83327133190455e-13,6.42793445272092e-11,"SLAMF1","6504"
"ENSG00000147168",1584.72816422922,-3.42306866432149,0.468940726541477,-7.29957640823233,2.88675094107176e-13,6.50346631591383e-11,"IL2RG","3561"
"ENSG00000148773",583.833745717105,-3.65242900841162,0.500551582658424,-7.29680843083866,2.94673879547562e-13,6.59250951632241e-11,"MKI67","4288"
