"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000134443",15.8565450697657,20.2083121835446,2.04136651422826,9.89940417004654,4.18762427701157e-23,6.74542518541024e-19
"ENSG00000100003",1122.5042755828,0.632683355208256,0.126699269468941,4.99358329262783,5.926920694304e-07,2.19221213648332e-05
"ENSG00000116885",660.814701209956,0.69797982502106,0.13983357502677,4.99150382794288,5.99109953074955e-07,2.21340897342463e-05
"ENSG00000259942",72.4629194385833,2.88682039778111,0.616190488405295,4.6849480024468,2.80031014987974e-06,8.76722952269445e-05
"ENSG00000132840",2000.67844157124,1.22558079660444,0.266954784142074,4.59096771965768,4.41195576566025e-06,0.000130879895899181
"ENSG00000140254",6881.17911360331,0.773511876554707,0.169702849568479,4.55803705430755,5.16339293624087e-06,0.000150401326251298
"ENSG00000109927",290.617802259201,0.759599992097447,0.169154213823763,4.49057682292712,7.10305496867726e-06,0.000200202991138151
"ENSG00000080823",1987.40024820644,0.616542954887243,0.138284170853652,4.45852154358099,8.25269035922148e-06,0.000229165108212329
"ENSG00000261760",7.77592518008476,2.23625887553457,0.501812299332125,4.45636521566104,8.33609707721637e-06,0.000230916340016855
"ENSG00000110680",1524.15718722265,6.17111266200001,1.38656091532285,4.45066105196188,8.56063654703361e-06,0.000236323450727708
"ENSG00000032742",1709.49916712863,0.532967277850836,0.119786695231974,4.44930279459427,8.61494900465028e-06,0.000237619175628265
"ENSG00000158560",377.794136720622,1.00524953584196,0.226546992070592,4.43726719412247,9.11081738042659e-06,0.000250438645672204
"ENSG00000117594",297.533170285023,1.86483952848924,0.422274580988765,4.41617755945119,1.00461572568356e-05,0.000272201011090173
"ENSG00000149968",101.836960902911,4.7730441927181,1.08351755220436,4.40513786141037,1.05716623508656e-05,0.000285001401084088
"ENSG00000085998",6802.31469619146,0.432647478188616,0.0994431481063524,4.35070174695101,1.35702532045288e-05,0.000357464658411366
"ENSG00000147459",7535.04783199952,1.28261483208199,0.295318414741007,4.34315900417804,1.4044840541147e-05,0.000367860636482594
"ENSG00000261083",15.431057542633,1.36888985000365,0.316424505500286,4.32611831956363,1.51759926556954e-05,0.000393647165375108
"ENSG00000105227",2172.37634977107,1.08295503995199,0.251958117486068,4.29815499003271,1.72225720572297e-05,0.000440001888497789
"ENSG00000101542",59.3677912373568,1.68380852914957,0.395971690395295,4.25234573579904,2.11542933518402e-05,0.00052740412865255
"ENSG00000197647",539.362358302481,0.549186710948534,0.130856451731974,4.19686384339231,2.70636524082208e-05,0.000654566536023454
"ENSG00000132837",503.454760847133,0.87993470089368,0.211449000073847,4.16145122741829,3.16231542009407e-05,0.000749096717454048
"ENSG00000114200",95.7426531022464,1.54892081417479,0.374359604157931,4.13752124153158,3.5107795675006e-05,0.000820183281701229
"ENSG00000165509",17.7023230290192,1.76276408896729,0.426276992633387,4.13525505582077,3.54560619373371e-05,0.000827119834448407
"ENSG00000011347",1605.91582470247,1.86860460760093,0.45210268166648,4.13314205682907,3.57837399995549e-05,0.000832954456521431
"ENSG00000165695",311.001553061075,0.779027821869005,0.190736771630616,4.0843085222061,4.42082624419659e-05,0.00101008041335487
"ENSG00000104635",12164.4069518065,0.914874174548508,0.224228030044793,4.08010619531264,4.50151309095029e-05,0.00102560640550251
"ENSG00000143393",8710.862870767,0.307954285713735,0.0754820238275105,4.07983610001586,4.50674654476726e-05,0.0010260731214574
"ENSG00000151012",884.738559387089,2.43343822706473,0.599065818481217,4.06205487275857,4.864263907171e-05,0.00110047139068414
"ENSG00000188738",273.782591551208,0.91706189012716,0.22581435348197,4.06113196963089,4.88353551852974e-05,0.00110405600185933
"ENSG00000196557",3798.64089697375,0.953782136043867,0.237630161874871,4.01372506132493,5.97679601854029e-05,0.00132700524144241
"ENSG00000170381",63.7751753334417,1.44327212473924,0.360201125684974,4.00685067819998,6.1533737745139e-05,0.00135871891377478
"ENSG00000114993",1992.38047280279,0.43068630605921,0.108259732760882,3.9782686976559,6.94188972373337e-05,0.00150497926877385
"ENSG00000088280",5065.07926219233,0.424301676448689,0.106865987596167,3.97040897663409,7.17493638836321e-05,0.00154867967723426
"ENSG00000148180",86359.9907134648,0.849125698408206,0.214581418799664,3.95712593922664,7.58569423921671e-05,0.00162703545679498
"ENSG00000088836",8576.99449254915,1.70769025035244,0.437912679791974,3.89961361969162,9.63463168772699e-05,0.00200122046712968
"ENSG00000264007",24.7605847630718,1.47968108873587,0.381172731351376,3.88191748000951,0.000103636047746151,0.00213610935008958
"ENSG00000227863",5.5706470074753,2.15841481970598,0.557255589499124,3.87329415869301,0.000107374098487138,0.00219786378724735
"ENSG00000100146",152.306051014646,1.22377365211136,0.31642587246395,3.86748922451271,0.000109961685815741,0.0022463701142929
"ENSG00000065833",1031.05394190136,1.39746340065076,0.361754385982153,3.86301715971372,0.00011199513742409,0.0022815590848125
"ENSG00000141449",1340.35627356224,1.1179813103549,0.289790134262974,3.85789983222951,0.000114365496669095,0.00231361857396983
"ENSG00000196593",20.4685384002514,2.58944957884874,0.671236191227685,3.85773236409178,0.000114443862227878,0.00231361857396983
"ENSG00000261003",15.7336099955998,2.23888796638452,0.580409610970679,3.85742745134802,0.000114586674110424,0.0023144352935056
"ENSG00000198848",712.724362338855,1.92675556853001,0.502151051902458,3.83700394777681,0.000124544470747517,0.00249677950815308
"ENSG00000137409",33757.8962603184,0.794989610390053,0.207449799209279,3.83220236134359,0.000127001204647223,0.00253970875786154
"ENSG00000251076",38.0828384283447,1.64397851019936,0.429052008402353,3.83165322153132,0.000127285064850538,0.00254329034684614
