"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000242534",68.8062058155926,-7.60489387051801,1.3611897843628,-5.5869460363883,2.31097495674225e-08,0.000577096666197675
"ENSG00000211619",50.3577620744547,-7.29896265739475,1.34164261403951,-5.44031814509717,5.31855061581831e-08,0.000664074229891075
"ENSG00000187862",99.0542735333606,-3.08451821190126,0.610069295792068,-5.0560128712863,4.28112452294304e-07,0.00356360805289779
"ENSG00000211895",58858.0169865427,-3.26027068485198,0.672618315247166,-4.8471333755667,1.25258220917587e-06,0.00781987073188499
"ENSG00000117322",1108.11606315774,-4.59121963661748,0.966533409027904,-4.75019238210827,2.03223219464435e-06,0.00851379555016678
"ENSG00000160223",1324.07293431035,-1.38304717732764,0.291237342697968,-4.74886621514724,2.04560200628707e-06,0.00851379555016678
"ENSG00000251578",6.45705091882156,-4.73107858845665,1.02115122945854,-4.63308318295348,3.60259697577217e-06,0.012291057576337
"ENSG00000237988",89.8919919746098,-4.03154365296657,0.874258205448416,-4.61138783467151,3.99989468092785e-06,0.012291057576337
"ENSG00000166428",134.950703256425,-2.409174890326,0.529363913887942,-4.55107503008976,5.33725095405206e-06,0.012291057576337
"ENSG00000211640",1071.51473491082,-4.012285593682,0.889282119140134,-4.51182533340664,6.42721065870405e-06,0.012291057576337
"ENSG00000116748",49.5082838131535,-2.39437942607987,0.531848746105073,-4.50199317684737,6.73191434115998e-06,0.012291057576337
"ENSG00000143297",1761.5627757109,-3.14206386204048,0.69942586202126,-4.49234727031722,7.04424341488305e-06,0.012291057576337
"ENSG00000241755",1121.91397859542,-4.43874909419682,0.991879510958805,-4.47508900542373,7.63794882686487e-06,0.012291057576337
"ENSG00000232533",143.581063783826,-1.23138686326902,0.275995577962543,-4.4616180895338,8.13431002051204e-06,0.012291057576337
"ENSG00000167483",930.438712287091,-3.54291089404202,0.796827322101208,-4.44627185310298,8.73733667716591e-06,0.012291057576337
"ENSG00000244116",934.589523925714,-3.30557735658189,0.743477807875603,-4.44610090787669,8.74428861520483e-06,0.012291057576337
"ENSG00000211890",7321.38522668431,-3.46221684725042,0.779201705858449,-4.44328704778191,8.85948407712902e-06,0.012291057576337
"ENSG00000211668",2092.61876385616,-3.92488154720003,0.890250080939892,-4.40874045532947,1.03973538167884e-05,0.0136654062901494
"ENSG00000104921",439.714432315686,-3.49477087899672,0.798966035686629,-4.37411694978164,1.21925005952337e-05,0.0152235562432088
"ENSG00000163519",124.062888051461,-2.37729664497881,0.548310255345445,-4.33567787908887,1.45311609932127e-05,0.0172796263010718
"ENSG00000156738",5226.53051460219,-3.42568871071366,0.792585620394385,-4.32216863713609,1.54503022777836e-05,0.0175374976582187
"ENSG00000257221",11.5781980085263,-4.17437530671389,0.974720797321585,-4.28263695427918,1.84691382502398e-05,0.0197928231640824
"ENSG00000177455",1253.05359529907,-3.54386537909374,0.828767540732944,-4.27606681598512,1.90224153427029e-05,0.0197928231640824
"ENSG00000026751",776.861675434959,-2.11506388979986,0.497951936629807,-4.24752618518735,2.16143909210192e-05,0.0211289357870962
"ENSG00000198576",165.962527311861,-2.35866305093734,0.556189121316912,-4.24075725420993,2.22766953973519e-05,0.0211289357870962
"ENSG00000223350",104.08889013198,-4.17578939335592,0.985995086882873,-4.23510162363717,2.28448368673553e-05,0.0211289357870962
"ENSG00000211663",1591.57164355311,-3.97010877461977,0.940967107479946,-4.21917912226745,2.45193417594056e-05,0.0218677500862813
"ENSG00000211660",1808.29133398166,-3.40407390687985,0.80910054672885,-4.20723224158275,2.58517429181799e-05,0.022096523842771
"ENSG00000142149",96.7771948054813,-1.99522483547278,0.476284950460948,-4.1891410458,2.80012326458971e-05,0.022096523842771
"ENSG00000211734",34.8090257053926,-3.05289039317173,0.729488379185172,-4.18497467578821,2.85197894380003e-05,0.022096523842771
"ENSG00000251039",74.6624908155669,-3.80984356184164,0.910725487162032,-4.18330618341837,2.87300034252598e-05,0.022096523842771
"ENSG00000269404",470.839981553347,-3.29915245792724,0.789343350389407,-4.17961645752722,2.92001156019319e-05,0.022096523842771
"ENSG00000049249",25.1495784110205,-2.9252181706839,0.702107129908386,-4.16634163943841,3.09526732516302e-05,0.0222728193207614
"ENSG00000197153",6.00354805364046,-4.15806096847117,0.998477224218153,-4.16440241962163,3.12169099882528e-05,0.0222728193207614
"ENSG00000188848",90.9893916813031,-4.04834541894828,0.974096388024742,-4.15600085239763,3.23866614771473e-05,0.0224655475113145
"ENSG00000187621",58.8619167854035,-4.19199667398449,1.01275540943102,-4.13919948977574,3.48519796900148e-05,0.0233341117680898
"ENSG00000198518",192.627278705357,-3.12407924960583,0.755535345868341,-4.13492137289131,3.5507618420127e-05,0.0233341117680898
"ENSG00000147138",211.57352441554,-2.29814779829623,0.561765152997914,-4.09094046868508,4.29627412706443e-05,0.0268216393752632
"ENSG00000272456",12.6904007394438,-2.10817078127571,0.517328008152355,-4.07511433375718,4.59917450130536e-05,0.027049551413105
"ENSG00000154165",62.3840251390149,-2.89107992130886,0.709933136254661,-4.07232705964551,4.65457580359505e-05,0.027049551413105
"ENSG00000240671",143.877146550762,-3.58146320411132,0.880615401455837,-4.0670004160618,4.76221580712199e-05,0.027049551413105
"ENSG00000160856",966.892358476837,-2.93187055537856,0.722616106465148,-4.05730031360706,4.96432306533782e-05,0.027049551413105
"ENSG00000211899",8771.92995966476,-3.28483907987176,0.810063328680166,-4.05503985129624,5.01257562556146e-05,0.027049551413105
"ENSG00000117215",179.911804388197,-4.73505547253135,1.16791721973353,-4.05427319036506,5.02904173166545e-05,0.027049551413105
"ENSG00000254709",109.278564027484,-3.63208391040909,0.896760411833399,-4.05022775591019,5.11678074315206e-05,0.027049551413105
"ENSG00000213886",52.1798154490296,-3.49664318122622,0.8648158694048,-4.04322273090658,5.27214939641473e-05,0.027049551413105
"ENSG00000226777",432.319926859338,-3.05478552171543,0.755826465864435,-4.04164931988944,5.30765665241929e-05,0.027049551413105
"ENSG00000230006",839.494909820157,-2.07687770480184,0.514599806359831,-4.03590844600822,5.43914249028624e-05,0.0271652532534856
"ENSG00000163534",945.459443786235,-3.82569634411141,0.954271333808158,-4.00902364827875,6.09703112123775e-05,0.0298539335606959
"ENSG00000240864",502.188981674196,-3.44557259601478,0.863213121010793,-3.99156652296959,6.56382701695968e-05,0.0314756119427663
"ENSG00000222037",753.234739994718,-3.82402190755,0.960057683899258,-3.98311681858406,6.80173003216114e-05,0.0314756119427663
"ENSG00000227507",943.005067007949,-2.87431525952478,0.724466295316039,-3.96749341978828,7.26325168786257e-05,0.032769370754103
"ENSG00000211670",186.301898770824,-3.77026954997869,0.952645482090577,-3.95768375629604,7.56800629066495e-05,0.032769370754103
"ENSG00000100721",404.5455931885,-4.13546918002133,1.04767416659572,-3.94728562741889,7.90422377960944e-05,0.032769370754103
"ENSG00000211965",326.77417262206,-4.12285346503032,1.04473741276782,-3.94630594697252,7.93661888576258e-05,0.032769370754103
"ENSG00000259342",6.91725994134793,-3.09220102959897,0.783662247852524,-3.94583385645098,7.95227428543042e-05,0.032769370754103
"ENSG00000231010",20.3110602762849,-1.70223626036495,0.431728485659835,-3.94283980998688,8.05224415415688e-05,0.032769370754103
"ENSG00000256039",24.7858802674017,-2.45350381465435,0.622659690487804,-3.94036076549652,8.13591617313144e-05,0.032769370754103
"ENSG00000211645",17.386879051647,-2.96077231725547,0.75706177701541,-3.91087280740526,9.19631942394269e-05,0.0364524585166186
"ENSG00000181847",510.706906118892,-2.12925379360253,0.5450031125753,-3.90686538199972,9.35012108529355e-05,0.0364830037096798
"ENSG00000167536",133.780068560632,-0.741960911737337,0.190449926501956,-3.89583196678061,9.78622210713444e-05,0.0372453319585844
"ENSG00000159753",1479.91506794298,-1.98906465257553,0.511197274290406,-3.89099228930074,9.98351058513607e-05,0.0372453319585844
"ENSG00000211804",7.02098061763726,-3.45106718653862,0.887138391579025,-3.89011141812501,0.000100198206080816,0.0372453319585844
"ENSG00000117601",25.6070728508052,-2.49112027407905,0.640857503961605,-3.88716720749874,0.000101420894328998,0.0372453319585844
"ENSG00000225523",44.7853354336391,-4.90662799982046,1.26691400960885,-3.87289742050872,0.000107549101833912,0.0389234227680644
"ENSG00000198788",13.3124192485934,-2.383194744454,0.616799419216882,-3.86380834709576,0.000111632820224436,0.0398242112377804
